epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,19382.3,0.97008,0.61011,0.10567,0.66368,0.96704,0.92734,0.88721,0.93318,0.69713,0.85706,0.82157,0.82453,0.81505,0.91708,1.04562,0.00551,0.54577,0.93436,0.006337,0.006337,0.006337
39,19728.1,0.97306,0.5998,0.10929,0.67398,0.96398,0.93365,0.88569,0.93255,0.69508,0.86155,0.8221,0.83572,0.82506,0.91782,0.9883,0.00614,0.5608,0.93668,0.006238,0.006238,0.006238
40,20074,0.96288,0.56243,0.10757,0.65512,0.95767,0.93398,0.88883,0.93399,0.69924,0.85845,0.82639,0.83596,0.82734,0.90081,0.93394,0.00654,0.54441,0.92634,0.006139,0.006139,0.006139
41,20612.8,0.9455,0.58308,0.10822,0.64117,0.95671,0.91242,0.90692,0.92987,0.69608,0.84481,0.84103,0.83118,0.81842,0.90226,1.01936,0.00612,0.53374,0.92331,0.00604,0.00604,0.00604
42,20959.4,0.93949,0.53522,0.09753,0.63183,0.94747,0.91922,0.90386,0.93788,0.70954,0.8507,0.84971,0.84979,0.84042,0.89392,0.93467,0.00433,0.51947,0.91452,0.005941,0.005941,0.005941
43,21305.8,0.93722,0.55124,0.1005,0.6318,0.94691,0.92722,0.90654,0.93933,0.7163,0.86452,0.84533,0.84867,0.8401,0.86907,0.92432,0.00517,0.50497,0.9083,0.005842,0.005842,0.005842
44,21651.1,0.9291,0.50095,0.1063,0.62583,0.9432,0.93132,0.90613,0.93719,0.71942,0.87141,0.84784,0.85563,0.84821,0.85992,0.84412,0.00424,0.50849,0.90521,0.005743,0.005743,0.005743
45,21995.5,0.93051,0.56206,0.10142,0.62092,0.94795,0.93764,0.89923,0.93823,0.7167,0.88084,0.84633,0.85654,0.84958,0.8745,0.8103,0.0037,0.50129,0.91574,0.005644,0.005644,0.005644
46,22340.2,0.91103,0.48839,0.09447,0.60617,0.93936,0.92886,0.90939,0.94021,0.72273,0.87269,0.86601,0.86481,0.85745,0.86293,0.77263,0.00542,0.48751,0.90668,0.005545,0.005545,0.005545
47,22686.2,0.90699,0.49762,0.09831,0.6059,0.93836,0.94697,0.90571,0.94173,0.72568,0.88185,0.86071,0.8582,0.84671,0.84124,0.76967,0.00357,0.4822,0.89925,0.005446,0.005446,0.005446
48,23031.6,0.90764,0.46597,0.09967,0.60607,0.93813,0.95222,0.90528,0.9431,0.72952,0.90172,0.85768,0.86554,0.85552,0.84847,0.77515,0.00478,0.48807,0.90107,0.005347,0.005347,0.005347
49,23375.8,0.89409,0.44516,0.09889,0.5903,0.93072,0.93975,0.90911,0.93974,0.72686,0.8888,0.86524,0.87542,0.86887,0.84279,0.76333,0.00371,0.48414,0.89849,0.005248,0.005248,0.005248
